[ 2025-10-16 18:11:37,033 ] 14 root - INFO - Initiated the data ingestion component
[ 2025-10-16 18:12:53,946 ] 65 root - INFO - Performed train test split on the dataframe
[ 2025-10-16 18:12:53,947 ] 67 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[ 2025-10-16 18:12:53,947 ] 75 root - INFO - Exporting train and test file path.
[ 2025-10-16 18:12:58,932 ] 84 root - INFO - Exported train and test file path.
[ 2025-10-16 18:12:59,165 ] 16 root - INFO - Completed the data ingestion component
[ 2025-10-16 18:12:59,167 ] 20 root - INFO - Initiated the data validation component
[ 2025-10-16 18:13:00,641 ] 32 root - INFO - Required number of columns:1
[ 2025-10-16 18:13:00,641 ] 33 root - INFO - Data frame has columns:22
[ 2025-10-16 18:13:00,641 ] 32 root - INFO - Required number of columns:1
[ 2025-10-16 18:13:00,641 ] 33 root - INFO - Data frame has columns:22
