[ 2025-10-16 19:06:29,169 ] 15 root - INFO - Initiated the data ingestion component
[ 2025-10-16 19:07:48,346 ] 65 root - INFO - Performed train test split on the dataframe
[ 2025-10-16 19:07:48,346 ] 67 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[ 2025-10-16 19:07:48,347 ] 75 root - INFO - Exporting train and test file path.
[ 2025-10-16 19:07:53,119 ] 84 root - INFO - Exported train and test file path.
[ 2025-10-16 19:07:53,335 ] 17 root - INFO - Completed the data ingestion component
[ 2025-10-16 19:07:53,336 ] 21 root - INFO - Initiated the data validation component
[ 2025-10-16 19:07:54,805 ] 32 root - INFO - Required number of columns:1
[ 2025-10-16 19:07:54,805 ] 33 root - INFO - Data frame has columns:22
[ 2025-10-16 19:07:54,805 ] 32 root - INFO - Required number of columns:1
[ 2025-10-16 19:07:54,805 ] 33 root - INFO - Data frame has columns:22
[ 2025-10-16 19:08:08,176 ] 25 root - INFO - Initiated the data transformation component
[ 2025-10-16 19:08:08,177 ] 77 root - INFO - Entered initiate_data_transformation method of DataTransformation class
[ 2025-10-16 19:08:08,177 ] 79 root - INFO - Starting data transformation
[ 2025-10-16 19:08:11,016 ] 61 root - INFO - Initializing KNNImputer for numeric columns
