[ 2025-11-03 20:51:29,816 ] 69 root - INFO - Initiated the data ingestion component
[ 2025-11-03 20:51:34,115 ] 65 root - INFO - Performed train test split on the dataframe
[ 2025-11-03 20:51:34,115 ] 67 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[ 2025-11-03 20:51:34,115 ] 75 root - INFO - Exporting train and test file path.
[ 2025-11-03 20:51:34,132 ] 84 root - INFO - Exported train and test file path.
[ 2025-11-03 20:51:34,133 ] 71 root - INFO - Completed the data ingestion component
[ 2025-11-03 20:51:34,134 ] 22 root - INFO - DataValidation initialized successfully.
[ 2025-11-03 20:51:34,134 ] 77 root - INFO - Initiated the data validation component
[ 2025-11-03 20:51:34,134 ] 106 root - INFO - 🚀 Starting data validation process...
[ 2025-11-03 20:51:34,134 ] 30 root - INFO - Reading data from file: Artifacts/11_03_2025_20_51_27/data_ingestion/ingested/train.csv
[ 2025-11-03 20:51:34,145 ] 30 root - INFO - Reading data from file: Artifacts/11_03_2025_20_51_27/data_ingestion/ingested/test.csv
[ 2025-11-03 20:51:34,150 ] 64 root - INFO - Starting dataset drift detection...
[ 2025-11-03 20:51:34,150 ] 90 root - INFO - Drift report generated at: Artifacts/11_03_2025_20_51_27/data_validation/drift_report/report.yaml
[ 2025-11-03 20:51:34,163 ] 133 root - INFO - ✅ Validated train file saved at: Artifacts/11_03_2025_20_51_27/data_validation/validated/train.csv
[ 2025-11-03 20:51:34,163 ] 134 root - INFO - ✅ Validated test file saved at: Artifacts/11_03_2025_20_51_27/data_validation/validated/test.csv
[ 2025-11-03 20:51:34,163 ] 146 root - INFO - 🏁 Data Validation completed successfully.
[ 2025-11-03 20:51:34,163 ] 147 root - INFO - Data Validation Artifact: DataValidationArtifact(validation_status=True, valid_train_file_path='Artifacts/11_03_2025_20_51_27/data_validation/validated/train.csv', valid_test_file_path='Artifacts/11_03_2025_20_51_27/data_validation/validated/test.csv', invalid_train_file_path=None, invalid_test_file_path=None, drift_report_file_path='Artifacts/11_03_2025_20_51_27/data_validation/drift_report/report.yaml')
[ 2025-11-03 20:51:34,164 ] 83 root - INFO - Initiated the data transformation component
[ 2025-11-03 20:51:34,164 ] 88 root - INFO - Starting data transformation process...
[ 2025-11-03 20:51:34,164 ] 29 root - INFO - Reading data from file: Artifacts/11_03_2025_20_51_27/data_validation/validated/train.csv
[ 2025-11-03 20:51:34,172 ] 29 root - INFO - Reading data from file: Artifacts/11_03_2025_20_51_27/data_validation/validated/test.csv
[ 2025-11-03 20:51:34,174 ] 36 root - INFO - Preprocessing dataframe...
[ 2025-11-03 20:51:34,189 ] 55 root - INFO - Dataframe preprocessing completed.
[ 2025-11-03 20:51:34,189 ] 36 root - INFO - Preprocessing dataframe...
[ 2025-11-03 20:51:34,193 ] 55 root - INFO - Dataframe preprocessing completed.
[ 2025-11-03 20:51:34,194 ] 109 root - INFO - Numerical columns: ['time', 'latitude', 'longitude', 'depth', 'nst', 'gap', 'dmin', 'rms', 'updated']
[ 2025-11-03 20:51:34,194 ] 110 root - INFO - Categorical columns: ['magType', 'net', 'id', 'place']
[ 2025-11-03 20:51:34,194 ] 63 root - INFO - Creating data transformer object...
[ 2025-11-03 20:51:34,194 ] 80 root - INFO - Data transformer object created successfully.
[ 2025-11-03 20:51:34,194 ] 116 root - INFO - Fitting and transforming training data...
[ 2025-11-03 20:51:34,315 ] 120 root - INFO - Transforming test data...
[ 2025-11-03 20:51:34,458 ] 47 root - INFO - Entered the save_object method of MainUtils class
[ 2025-11-03 20:51:34,460 ] 51 root - INFO - Exited the save_object method of MainUtils class
[ 2025-11-03 20:51:34,460 ] 134 root - INFO - Data transformation completed successfully.
[ 2025-11-03 20:51:34,462 ] 87 root - INFO - Completed the data transformation component
[ 2025-11-03 20:51:34,462 ] 91 root - INFO - Initiated the data visualization component
[ 2025-11-03 20:51:34,462 ] 67 root - INFO - Initiated the data visualization component
[ 2025-11-03 20:51:34,462 ] 36 root - INFO - Loading transformed data from: Artifacts/11_03_2025_20_51_27/data_transformation/transformed/train.npy
[ 2025-11-03 20:51:34,467 ] 36 root - INFO - Loading transformed data from: Artifacts/11_03_2025_20_51_27/data_transformation/transformed/test.npy
[ 2025-11-03 20:57:23,451 ] 57 root - INFO - Correlation heatmap saved at: Artifacts/11_03_2025_20_51_27/data_visualization/train_correlation_heatmap.png
[ 2025-11-03 20:59:35,298 ] 57 root - INFO - Correlation heatmap saved at: Artifacts/11_03_2025_20_51_27/data_visualization/test_correlation_heatmap.png
[ 2025-11-03 20:59:35,298 ] 98 root - INFO - Data visualization completed successfully.
[ 2025-11-03 20:59:35,299 ] 98 root - INFO - Completed the data visualization component
[ 2025-11-03 20:59:35,299 ] 101 root - INFO - Model training started
[ 2025-11-03 20:59:35,299 ] 32 root - INFO - >>>>>>>>>>>>>>>>>>>> Model Trainer Initiated <<<<<<<<<<<<<<<<<<<<
[ 2025-11-03 20:59:35,334 ] 72 root - INFO - NaNs in y_train after cleaning: 0
[ 2025-11-03 20:59:35,334 ] 73 root - INFO - NaNs in y_test after cleaning: 0
