[ 2025-10-27 20:15:22,234 ] 161 numexpr.utils - INFO - NumExpr defaulting to 12 threads.
[ 2025-10-27 20:15:28,435 ] 19 root - INFO - Initiated the data ingestion component
[ 2025-10-27 20:15:30,981 ] 65 root - INFO - Performed train test split on the dataframe
[ 2025-10-27 20:15:30,981 ] 67 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[ 2025-10-27 20:15:30,982 ] 75 root - INFO - Exporting train and test file path.
[ 2025-10-27 20:15:31,030 ] 84 root - INFO - Exported train and test file path.
[ 2025-10-27 20:15:31,032 ] 21 root - INFO - Completed the data ingestion component
[ 2025-10-27 20:15:31,034 ] 25 root - INFO - Initiated the data validation component
[ 2025-10-27 20:15:31,081 ] 32 root - INFO - Required number of columns:1
[ 2025-10-27 20:15:31,081 ] 33 root - INFO - Data frame has columns:13
[ 2025-10-27 20:15:31,081 ] 32 root - INFO - Required number of columns:1
[ 2025-10-27 20:15:31,081 ] 33 root - INFO - Data frame has columns:13
[ 2025-10-27 20:15:31,181 ] 29 root - INFO - Initiated the data transformation component
[ 2025-10-27 20:15:31,182 ] 89 root - INFO - Entered initiate_data_transformation method of DataTransformation class
[ 2025-10-27 20:15:31,256 ] 110 root - INFO - Numeric columns: ['time', 'latitude', 'longitude', 'depth', 'nst', 'gap', 'dmin', 'rms', 'updated']
[ 2025-10-27 20:15:31,256 ] 111 root - INFO - Categorical columns: ['magType', 'net', 'id']
[ 2025-10-27 20:15:31,256 ] 65 root - INFO - Initializing numeric and categorical transformation pipelines
[ 2025-10-27 20:15:43,327 ] 47 root - INFO - Entered the save_object method of MainUtils class
[ 2025-10-27 20:15:43,330 ] 51 root - INFO - Exited the save_object method of MainUtils class
[ 2025-10-27 20:15:43,330 ] 47 root - INFO - Entered the save_object method of MainUtils class
[ 2025-10-27 20:15:43,332 ] 51 root - INFO - Exited the save_object method of MainUtils class
[ 2025-10-27 20:15:43,332 ] 143 root - INFO - Saved transformed train CSV at: Artifacts\10_27_2025_20_15_22\data_transformation\transformed\train.csv
[ 2025-10-27 20:15:43,332 ] 144 root - INFO - Saved transformed test CSV at: Artifacts\10_27_2025_20_15_22\data_transformation\transformed\test.csv
[ 2025-10-27 20:15:43,332 ] 145 root - INFO - Data transformation completed successfully
[ 2025-10-27 20:15:43,357 ] 33 root - INFO - Completed the data transformation component
[ 2025-10-27 20:15:43,357 ] 35 root - INFO - Model Training sstared
