[ 2025-10-16 19:26:56,351 ] 15 root - INFO - Initiated the data ingestion component
[ 2025-10-16 19:28:32,568 ] 65 root - INFO - Performed train test split on the dataframe
[ 2025-10-16 19:28:32,569 ] 67 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[ 2025-10-16 19:28:32,569 ] 75 root - INFO - Exporting train and test file path.
[ 2025-10-16 19:28:37,371 ] 84 root - INFO - Exported train and test file path.
[ 2025-10-16 19:28:37,597 ] 17 root - INFO - Completed the data ingestion component
[ 2025-10-16 19:28:37,598 ] 21 root - INFO - Initiated the data validation component
[ 2025-10-16 19:28:39,058 ] 32 root - INFO - Required number of columns:1
[ 2025-10-16 19:28:39,058 ] 33 root - INFO - Data frame has columns:22
[ 2025-10-16 19:28:39,058 ] 32 root - INFO - Required number of columns:1
[ 2025-10-16 19:28:39,058 ] 33 root - INFO - Data frame has columns:22
[ 2025-10-16 19:28:52,238 ] 25 root - INFO - Initiated the data transformation component
[ 2025-10-16 19:28:52,238 ] 84 root - INFO - Entered initiate_data_transformation method of DataTransformation class
[ 2025-10-16 19:28:52,238 ] 86 root - INFO - Starting data transformation
[ 2025-10-16 19:28:57,496 ] 68 root - INFO - Initializing KNNImputer for numeric columns
