[ 2025-10-16 19:11:11,722 ] 15 root - INFO - Initiated the data ingestion component
[ 2025-10-16 19:12:33,803 ] 65 root - INFO - Performed train test split on the dataframe
[ 2025-10-16 19:12:33,803 ] 67 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[ 2025-10-16 19:12:33,804 ] 75 root - INFO - Exporting train and test file path.
[ 2025-10-16 19:12:38,613 ] 84 root - INFO - Exported train and test file path.
[ 2025-10-16 19:12:38,838 ] 17 root - INFO - Completed the data ingestion component
[ 2025-10-16 19:12:38,840 ] 21 root - INFO - Initiated the data validation component
[ 2025-10-16 19:12:40,251 ] 32 root - INFO - Required number of columns:1
[ 2025-10-16 19:12:40,252 ] 33 root - INFO - Data frame has columns:22
[ 2025-10-16 19:12:40,252 ] 32 root - INFO - Required number of columns:1
[ 2025-10-16 19:12:40,252 ] 33 root - INFO - Data frame has columns:22
[ 2025-10-16 19:12:53,555 ] 25 root - INFO - Initiated the data transformation component
[ 2025-10-16 19:12:53,555 ] 77 root - INFO - Entered initiate_data_transformation method of DataTransformation class
[ 2025-10-16 19:12:53,555 ] 79 root - INFO - Starting data transformation
[ 2025-10-16 19:12:56,351 ] 61 root - INFO - Initializing KNNImputer for numeric columns
